sort_size, sort_shift, DC_size, sort_shiftride_number
18,0,9,0,1180
18,0,9,0.2,1192
18,0,9,0.4,1905
18,0,9,0.6000000000000001,1966
18,0,9,0.8,2237
18,0,9,1,2505
18,0,9,1.2,2309
18,0,9,1.4,2251
18,0,9,1.5999999999999999,2435
18,0,9,1.7999999999999998,2514
18,0,9,1.9999999999999998,2675
18.6,0,9.3,0,1144
18.6,0,9.3,0.2,1364
18.6,0,9.3,0.4,1899
18.6,0,9.3,0.6000000000000001,2044
18.6,0,9.3,0.8,2284
18.6,0,9.3,1,2443
18.6,0,9.3,1.2,2422
18.6,0,9.3,1.4,2232
18.6,0,9.3,1.5999999999999999,2462
18.6,0,9.3,1.7999999999999998,2569
18.6,0,9.3,1.9999999999999998,2667
19.200000000000003,0,9.600000000000001,0,1171
19.200000000000003,0,9.600000000000001,0.2,1278
19.200000000000003,0,9.600000000000001,0.4,1977
19.200000000000003,0,9.600000000000001,0.6000000000000001,2086
19.200000000000003,0,9.600000000000001,0.8,2231
19.200000000000003,0,9.600000000000001,1,2386
19.200000000000003,0,9.600000000000001,1.2,2407
19.200000000000003,0,9.600000000000001,1.4,2122
19.200000000000003,0,9.600000000000001,1.5999999999999999,2384
19.200000000000003,0,9.600000000000001,1.7999999999999998,2609
19.200000000000003,0,9.600000000000001,1.9999999999999998,2656
19.800000000000004,0,9.900000000000002,0,1242
19.800000000000004,0,9.900000000000002,0.2,1326
19.800000000000004,0,9.900000000000002,0.4,1924
19.800000000000004,0,9.900000000000002,0.6000000000000001,2108
19.800000000000004,0,9.900000000000002,0.8,2226
19.800000000000004,0,9.900000000000002,1,2499
19.800000000000004,0,9.900000000000002,1.2,2582
19.800000000000004,0,9.900000000000002,1.4,2253
19.800000000000004,0,9.900000000000002,1.5999999999999999,2327
19.800000000000004,0,9.900000000000002,1.7999999999999998,2365
19.800000000000004,0,9.900000000000002,1.9999999999999998,2454
20.400000000000006,0,10.200000000000003,0,1229
20.400000000000006,0,10.200000000000003,0.2,1319
20.400000000000006,0,10.200000000000003,0.4,1956
20.400000000000006,0,10.200000000000003,0.6000000000000001,2102
20.400000000000006,0,10.200000000000003,0.8,2189
20.400000000000006,0,10.200000000000003,1,2381
20.400000000000006,0,10.200000000000003,1.2,2582
20.400000000000006,0,10.200000000000003,1.4,2310
20.400000000000006,0,10.200000000000003,1.5999999999999999,2318
20.400000000000006,0,10.200000000000003,1.7999999999999998,2447
20.400000000000006,0,10.200000000000003,1.9999999999999998,2532
21.000000000000007,0,10.500000000000004,0,1245
21.000000000000007,0,10.500000000000004,0.2,1387
21.000000000000007,0,10.500000000000004,0.4,1898
21.000000000000007,0,10.500000000000004,0.6000000000000001,2057
21.000000000000007,0,10.500000000000004,0.8,2133
21.000000000000007,0,10.500000000000004,1,2323
21.000000000000007,0,10.500000000000004,1.2,2520
21.000000000000007,0,10.500000000000004,1.4,2362
21.000000000000007,0,10.500000000000004,1.5999999999999999,2321
21.000000000000007,0,10.500000000000004,1.7999999999999998,2451
21.000000000000007,0,10.500000000000004,1.9999999999999998,2530
21.60000000000001,0,10.800000000000004,0,1328
21.60000000000001,0,10.800000000000004,0.2,1324
21.60000000000001,0,10.800000000000004,0.4,1922
21.60000000000001,0,10.800000000000004,0.6000000000000001,2155
21.60000000000001,0,10.800000000000004,0.8,2339
21.60000000000001,0,10.800000000000004,1,2483
21.60000000000001,0,10.800000000000004,1.2,2654
21.60000000000001,0,10.800000000000004,1.4,2621
21.60000000000001,0,10.800000000000004,1.5999999999999999,2453
21.60000000000001,0,10.800000000000004,1.7999999999999998,2712
21.60000000000001,0,10.800000000000004,1.9999999999999998,2716
